product,process,eqp,cost,ct,oee,pass,option
Product_32,Clinching,Clincher_02,1.80,189.50,1.00,1.00,1.00
Product_51,Clinching,Clincher_02,1.30,34.00,1.00,1.00,1.00
Product_52,Clinching,Clincher_02,1.30,34.00,1.00,1.00,1.00
Product_49,Clinching,Clincher_02,1.20,34.00,1.00,1.00,1.00
Product_50,Clinching,Clincher_02,1.20,34.00,1.00,1.00,1.00
Product_61,Clinching,Clincher_02,3.00,28.60,1.00,1.00,1.00
Product_55,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_56,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_53,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_54,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_78,Clinching,Clincher_02,1.70,52.90,1.00,1.00,1.00
Product_83,Clinching,Clincher_02,1.70,52.90,1.00,1.00,1.00
Product_10,Clinching,Clincher_02,1.60,100.00,1.00,1.00,1.00
Product_09,Clinching,Clincher_02,1.60,100.00,1.00,1.00,1.00
Product_80,Clinching,Clincher_02,2.90,128.60,1.00,1.00,1.00
Product_87,Clinching,Clincher_02,2.90,128.60,1.00,1.00,1.00
Product_22,Clinching,Clincher_02,2.70,124.10,1.00,1.00,1.00
Product_29,Clinching,Clincher_02,2.90,59.00,1.00,1.00,1.00
Product_28,Clinching,Clincher_02,2.90,59.00,1.00,1.00,1.00
Product_25,Clinching,Clincher_02,2.40,41.40,1.00,1.00,1.00
Product_14,Clinching,Clincher_02,1.80,30.00,1.00,1.00,1.00
Product_13,Clinching,Clincher_02,1.80,30.00,1.00,1.00,1.00
Product_79,Clinching,Clincher_02,2.20,30.00,1.00,1.00,1.00
Product_77,Clinching,Clincher_02,2.20,30.00,1.00,1.00,1.00
Product_11,Clinching,Clincher_02,1.30,42.90,1.00,1.00,1.00
Product_02,Clinching,Clincher_02,2.70,54.50,1.00,1.00,1.00
Product_01,Clinching,Clincher_02,1.50,54.50,1.00,1.00,1.00
Product_26,Clinching,Clincher_02,2.70,40.00,1.00,1.00,1.00
Product_27,Clinching,Clincher_02,2.70,40.00,1.00,1.00,1.00
Product_21,Clinching,Clincher_02,2.80,87.80,1.00,1.00,1.00
Product_20,Clinching,Clincher_02,2.80,87.80,1.00,1.00,1.00
Product_19,Clinching,Clincher_02,1.80,87.80,1.00,1.00,1.00
Product_18,Clinching,Clincher_02,1.80,87.80,1.00,1.00,1.00
Product_12,Clinching,Clincher_02,2.40,28.60,1.00,1.00,1.00
Product_16,Clinching,Clincher_02,1.50,40.00,1.00,1.00,1.00
Product_15,Clinching,Clincher_02,1.50,40.00,1.00,1.00,1.00
Product_23,Clinching,Clincher_02,2.10,24.30,1.00,1.00,1.00
Product_24,Clinching,Clincher_02,2.10,24.30,1.00,1.00,1.00
Product_64,Clinching,Clincher_02,1.20,42.40,1.00,1.00,1.00
Product_65,Clinching,Clincher_02,1.20,42.40,1.00,1.00,1.00
Product_62,Clinching,Clincher_02,1.10,42.40,1.00,1.00,1.00
Product_63,Clinching,Clincher_02,1.10,42.40,1.00,1.00,1.00
Product_37,Clinching,Clincher_02,1.50,36.40,1.00,1.00,1.00
Product_69,Clinching,Clincher_02,2.40,28.10,1.00,1.00,1.00
Product_59,Clinching,Clincher_Subcon,2.80,90.00,1.00,1.00,99.00
Product_59,Testing,Tester_Subcon,5.80,32.00,1.00,1.00,99.00
Product_59,HeatStaking,HeatStake_Subcon,11.40,55.00,1.00,1.00,99.00
Product_59,Pressing,HydraulicPress_Subcon,2.00,420.00,1.00,1.00,99.00
Product_60,Clinching,Clincher_Subcon,2.80,90.00,1.00,1.00,99.00
Product_60,Testing,Tester_Subcon,5.80,32.00,1.00,1.00,99.00
Product_60,HeatStaking,HeatStake_Subcon,11.40,55.00,1.00,1.00,99.00
Product_60,Pressing,HydraulicPress_Subcon,2.00,420.00,1.00,1.00,99.00
Product_57,Clinching,Clincher_Subcon,2.80,60.00,1.00,1.00,99.00
Product_57,Testing,Tester_Subcon,5.00,41.00,1.00,1.00,99.00
Product_57,HeatStaking,HeatStake_Subcon,14.60,44.00,1.00,1.00,99.00
Product_57,Pressing,HydraulicPress_Subcon,1.20,270.00,1.00,1.00,99.00
Product_58,Clinching,Clincher_Subcon,2.80,60.00,1.00,1.00,99.00
Product_58,Testing,Tester_Subcon,5.00,41.00,1.00,1.00,99.00
Product_58,HeatStaking,HeatStake_Subcon,14.60,44.00,1.00,1.00,99.00
Product_58,Pressing,HydraulicPress_Subcon,1.20,270.00,1.00,1.00,99.00
Product_71,Clinching,Clincher_Subcon,5.40,94.70,1.00,1.00,99.00
Product_71,Testing,Tester_Subcon,5.20,36.00,1.00,1.00,99.00
Product_71,HeatStaking,HeatStake_Subcon,15.20,75.00,1.00,1.00,99.00
Product_71,Pressing,HydraulicPress_Subcon,3.40,248.30,1.00,1.00,99.00
Product_72,Clinching,Clincher_Subcon,5.40,94.70,1.00,1.00,99.00
Product_72,Testing,Tester_Subcon,5.20,36.00,1.00,1.00,99.00
Product_72,HeatStaking,HeatStake_Subcon,15.20,75.00,1.00,1.00,99.00
Product_72,Pressing,HydraulicPress_Subcon,3.40,248.30,1.00,1.00,99.00
Product_66,Clinching,Clincher_Subcon,2.40,128.60,1.00,1.00,99.00
Product_66,Testing,Tester_Subcon,2.40,42.00,1.00,1.00,99.00
Product_66,HeatStaking,HeatStake_Subcon,14.00,60.00,1.00,1.00,99.00
Product_66,Pressing,HydraulicPress_Subcon,0.80,300.00,1.00,1.00,99.00
Product_67,Clinching,Clincher_Subcon,2.40,128.60,1.00,1.00,99.00
Product_67,Testing,Tester_Subcon,2.40,42.00,1.00,1.00,99.00
Product_67,HeatStaking,HeatStake_Subcon,14.00,60.00,1.00,1.00,99.00
Product_67,Pressing,HydraulicPress_Subcon,0.80,300.00,1.00,1.00,99.00
Product_17,Clinching,Clincher_Subcon,4.60,20.30,1.00,1.00,99.00
Product_17,Testing,Tester_Subcon,2.20,12.30,1.00,1.00,99.00
Product_17,HeatStaking,HeatStake_Subcon,11.60,19.80,1.00,1.00,99.00
Product_17,Pressing,HydraulicPress_Subcon,2.00,7.20,1.00,1.00,99.00
Product_40,Clinching,Clincher_Subcon,3.00,240.00,1.00,1.00,99.00
Product_40,Testing,Tester_Subcon,4.60,30.50,1.00,1.00,99.00
Product_40,HeatStaking,HeatStake_Subcon,9.20,180.00,1.00,1.00,99.00
Product_40,Pressing,HydraulicPress_Subcon,1.00,446.90,1.00,1.00,99.00
Product_41,Clinching,Clincher_Subcon,3.00,240.00,1.00,1.00,99.00
Product_41,Testing,Tester_Subcon,4.60,30.50,1.00,1.00,99.00
Product_41,HeatStaking,HeatStake_Subcon,9.20,180.00,1.00,1.00,99.00
Product_41,Pressing,HydraulicPress_Subcon,1.00,446.90,1.00,1.00,99.00
Product_38,Clinching,Clincher_Subcon,3.00,240.00,1.00,1.00,99.00
Product_38,Testing,Tester_Subcon,5.20,30.50,1.00,1.00,99.00
Product_38,HeatStaking,HeatStake_Subcon,10.60,180.00,1.00,1.00,99.00
Product_38,Pressing,HydraulicPress_Subcon,1.60,446.90,1.00,1.00,99.00
Product_39,Clinching,Clincher_Subcon,3.00,240.00,1.00,1.00,99.00
Product_39,Testing,Tester_Subcon,5.20,30.50,1.00,1.00,99.00
Product_39,HeatStaking,HeatStake_Subcon,10.60,180.00,1.00,1.00,99.00
Product_39,Pressing,HydraulicPress_Subcon,1.60,446.90,1.00,1.00,99.00
Product_70,Clinching,Clincher_Subcon,3.60,26.10,1.00,1.00,99.00
Product_70,Testing,Tester_Subcon,2.20,22.00,1.00,1.00,99.00
Product_70,HeatStaking,HeatStake_Subcon,6.80,27.10,1.00,1.00,99.00
Product_70,Pressing,HydraulicPress_Subcon,4.00,24.80,1.00,1.00,99.00
Product_69,Clinching,Clincher_Subcon,4.80,28.10,1.00,1.00,99.00
Product_69,Testing,Tester_Subcon,3.60,22.00,1.00,1.00,99.00
Product_69,HeatStaking,HeatStake_Subcon,10.20,20.00,1.00,1.00,99.00
Product_69,Pressing,HydraulicPress_Subcon,3.40,24.80,1.00,1.00,99.00
Product_75,Clinching,Clincher_Subcon,4.80,10.00,1.00,1.00,99.00
Product_75,Testing,Tester_Subcon,3.80,30.00,1.00,1.00,99.00
Product_75,HeatStaking,HeatStake_Subcon,6.40,40.00,1.00,1.00,99.00
Product_75,Pressing,HydraulicPress_Subcon,3.20,74.50,1.00,1.00,99.00
Product_76,Clinching,Clincher_Subcon,4.80,10.00,1.00,1.00,99.00
Product_76,Testing,Tester_Subcon,3.80,30.00,1.00,1.00,99.00
Product_76,HeatStaking,HeatStake_Subcon,6.40,40.00,1.00,1.00,99.00
Product_76,Pressing,HydraulicPress_Subcon,3.20,74.50,1.00,1.00,99.00
Product_73,Clinching,Clincher_Subcon,4.80,40.00,1.00,1.00,99.00
Product_73,Testing,Tester_Subcon,5.20,30.00,1.00,1.00,99.00
Product_73,HeatStaking,HeatStake_Subcon,10.00,40.00,1.00,1.00,99.00
Product_73,Pressing,HydraulicPress_Subcon,2.60,198.60,1.00,1.00,99.00
Product_74,Clinching,Clincher_Subcon,4.80,40.00,1.00,1.00,99.00
Product_74,Testing,Tester_Subcon,5.20,30.00,1.00,1.00,99.00
Product_74,HeatStaking,HeatStake_Subcon,10.00,40.00,1.00,1.00,99.00
Product_74,Pressing,HydraulicPress_Subcon,2.60,198.60,1.00,1.00,99.00
Product_86,Clinching,Clincher_Subcon,4.40,59.00,1.00,1.00,99.00
Product_86,Testing,Tester_Subcon,5.40,40.00,1.00,1.00,99.00
Product_86,HeatStaking,HeatStake_Subcon,6.20,60.00,1.00,1.00,99.00
Product_86,Pressing,HydraulicPress_Subcon,2.20,24.80,1.00,1.00,99.00
Product_85,Clinching,Clincher_Subcon,4.40,59.00,1.00,1.00,99.00
Product_85,Testing,Tester_Subcon,5.40,40.00,1.00,1.00,99.00
Product_85,HeatStaking,HeatStake_Subcon,6.20,60.00,1.00,1.00,99.00
Product_85,Pressing,HydraulicPress_Subcon,2.20,24.80,1.00,1.00,99.00
Product_36,Clinching,Clincher_Subcon,2.80,40.90,1.00,1.00,99.00
