product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_26,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.0,99.3,1.0,1.0,99.0,256608000.0,19M06Product_26Pressing,19M06Product_26PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_27,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.5,99.3,1.0,1.0,26.0,67392000.0,19M06Product_27Pressing,19M06Product_27PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_27,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.7,40.0,1.0,1.0,7.0,18144000.0,19M06Product_27Clinching,19M06Product_27ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_27,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,5.4,40.0,1.0,1.0,99.0,256608000.0,19M06Product_27Clinching,19M06Product_27ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_27,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.0,99.3,1.0,1.0,99.0,256608000.0,19M06Product_27Pressing,19M06Product_27PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_05,3.6,60.0,1.0,1.0,1.0,2592000.0,19M06Product_28HeatStaking,19M06Product_28HeatStakingHeatStake_05,0.0,First Optimal,0.0,720.0,0.0,0.0,43200.0,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Testing,Tester_05,1.2,40.0,1.0,1.0,1.0,2592000.0,19M06Product_28Testing,19M06Product_28TestingTester_05,0.0,First Optimal,0.0,720.0,0.0,0.0,64799.99999999999,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.2,24.8,1.0,1.0,26.0,67392000.0,19M06Product_28Pressing,19M06Product_28PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.9,59.0,1.0,1.0,7.0,18144000.0,19M06Product_28Clinching,19M06Product_28ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,5.8,59.0,1.0,1.0,99.0,256608000.0,19M06Product_28Clinching,19M06Product_28ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
