No,Constraint Name,Final Value,Shadow Price,RHS 1,RHS 2,Range 1,Range 2,month,Description
21,_C117,2.592e+06,-.05333,-Inf,2.592e+06,2.4876e+06,3.25758e+06,19M06,44.0*_19M06Product_57HeatStakingHeatStake_09 + 44.0*_19M06Product_58HeatStakingHeatStake_09 + 60.0*_19M06Product_73HeatStakingHeatStake_09 + 60.0*_19M06Product_74HeatStakingHeatStake_09 + 60.0*_19M06Product_75HeatStakingHeatStake_09 + 60.0*_19M06Product_76HeatStakingHeatStake_09 <= 2592000.0
22,_C118,1.62879e+06,0.0,-Inf,2.592e+06,2.24469e+06,1.35855e+06,19M06,41.0*_19M06Product_57TestingTester_09 + 41.0*_19M06Product_58TestingTester_09 + 30.0*_19M06Product_73TestingTester_09 + 30.0*_19M06Product_74TestingTester_09 + 30.0*_19M06Product_75TestingTester_09 + 30.0*_19M06Product_76TestingTester_09 <= 2592000.0
23,_C119,5.00918e+06,0.0,-Inf,7.776e+06,5.00918e+06,3.95987e+06,19M06,60.0*_19M06Product_57ClinchingClincher_01 + 60.0*_19M06Product_58ClinchingClincher_01 + 90.0*_19M06Product_59ClinchingClincher_01 + 90.0*_19M06Product_60ClinchingClincher_01 + 40.0*_19M06Product_73ClinchingClincher_01 + 40.0*_19M06Product_74ClinchingClincher_01 + 10.0*_19M06Product_75ClinchingClincher_01 + 10.0*_19M06Product_76ClinchingClincher_01 <= 7776000.0
24,_C12,0.0,0.0,0.0,0.0,88222.45894,0.0,19M06,_19M06Product_25ClinchingClincher_02 + _19M06Product_25ClinchingClincher_Subcon = 0
25,_C13,0.0,0.0,0.0,0.0,245459.36254,0.0,19M06,_19M06Product_26PressingHydraulicPress_01 + _19M06Product_26PressingHydraulicPress_Subcon = 0
26,_C14,0.0,0.0,0.0,0.0,91310.24500,0.0,19M06,_19M06Product_26ClinchingClincher_02 + _19M06Product_26ClinchingClincher_Subcon = 0
27,_C15,0.0,0.0,0.0,0.0,245459.36254,0.0,19M06,_19M06Product_27PressingHydraulicPress_01 + _19M06Product_27PressingHydraulicPress_Subcon = 0
28,_C16,0.0,0.0,0.0,0.0,91310.24500,0.0,19M06,_19M06Product_27ClinchingClincher_02 + _19M06Product_27ClinchingClincher_Subcon = 0
29,_C17,0.0,0.0,0.0,0.0,36439.00000,0.0,19M06,_19M06Product_28HeatStakingHeatStake_05 + _19M06Product_28HeatStakingHeatStake_Subcon = 0
30,_C18,0.0,0.0,0.0,0.0,58039.00000,0.0,19M06,_19M06Product_28TestingTester_05 + _19M06Product_28TestingTester_Subcon = 0
31,_C19,0.0,0.0,0.0,0.0,982827.20565,0.0,19M06,_19M06Product_28PressingHydraulicPress_01 + _19M06Product_28PressingHydraulicPress_Subcon = 0
32,_C2,0.0,0.0,0.0,0.0,121746.99333,0.0,19M06,_19M06Product_14ClinchingClincher_02 + _19M06Product_14ClinchingClincher_Subcon = 0
33,_C20,0.0,0.0,0.0,0.0,61905.25085,0.0,19M06,_19M06Product_28ClinchingClincher_02 + _19M06Product_28ClinchingClincher_Subcon = 0
